filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
2_Chainz_-_We_Own_It_Fast_Furious_preview.wav,0.0,12.0,120.0,0.0,0.0,13.0,0.0,0.0,5.0,2.0,1.0,0.0,10.0,45.0,0.0,0.0,57.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0,0.0,151.0,0.0,13.0,1.0,0.0,0.0,3.0,2.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,2.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,43.0,74.0,0.0,1.0,0.0,0.0,0.0,10.0,72.0,1.0,1.0,2.0,1.0,0.0,28.0,4.0,34.0,0.0,76.0,0.0,0.0,0.0,105.0,9.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,36.0,7.0,0.0,0.0
2Pac_-_Cant_C_Me_preview.wav,2.0,5.0,33.0,0.0,0.0,61.0,8.0,0.0,0.0,6.0,0.0,1.0,15.0,3.0,0.0,4.0,76.0,0.0,94.0,5.0,4.0,0.0,2.0,1.0,5.0,0.0,4.0,23.0,1.0,0.0,12.0,7.0,0.0,11.0,10.0,13.0,11.0,0.0,5.0,1.0,9.0,0.0,8.0,46.0,32.0,36.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,30.0,0.0,0.0,13.0,0.0,3.0,3.0,0.0,3.0,8.0,17.0,1.0,8.0,0.0,4.0,0.0,31.0,0.0,7.0,13.0,21.0,15.0,0.0,4.0,4.0,7.0,15.0,2.0,0.0,39.0,76.0,0.0,1.0,0.0,1.0,0.0,15.0,25.0,2.0,4.0,18.0,0.0,0.0,146.0,0.0,3.0,0.0,39.0,0.0,15.0,1.0,11.0,35.0,0.0,2.0,17.0,3.0,0.0,0.0,1.0,3.0,4.0,2.0,7.0,0.0,1.0,0.0,2.0,16.0,1.0,4.0,5.0,22.0,1.0,0.0
2Pac_-_Changes_preview.wav,1.0,14.0,19.0,0.0,0.0,4.0,0.0,2.0,0.0,9.0,7.0,2.0,0.0,1.0,0.0,0.0,17.0,0.0,16.0,20.0,0.0,1.0,4.0,0.0,34.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,40.0,3.0,6.0,0.0,51.0,0.0,10.0,67.0,11.0,0.0,2.0,28.0,0.0,2.0,0.0,52.0,0.0,21.0,11.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,20.0,0.0,0.0,13.0,0.0,4.0,0.0,7.0,11.0,18.0,0.0,3.0,0.0,15.0,29.0,13.0,0.0,2.0,7.0,0.0,39.0,3.0,0.0,1.0,0.0,4.0,2.0,3.0,7.0,18.0,39.0,0.0,2.0,0.0,33.0,33.0,25.0,0.0,7.0,59.0,0.0,5.0,9.0,43.0,0.0,41.0,76.0,0.0,0.0,46.0,60.0,2.0,47.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0
50_Cent_-_In_Da_Club_preview.wav,3.0,7.0,12.0,1.0,2.0,12.0,1.0,3.0,38.0,1.0,3.0,2.0,17.0,49.0,34.0,3.0,1.0,1.0,19.0,6.0,1.0,3.0,1.0,4.0,4.0,15.0,4.0,53.0,19.0,8.0,31.0,33.0,0.0,7.0,39.0,24.0,15.0,1.0,2.0,13.0,2.0,0.0,7.0,4.0,4.0,5.0,3.0,0.0,12.0,3.0,0.0,1.0,5.0,5.0,0.0,3.0,4.0,0.0,7.0,10.0,3.0,5.0,4.0,89.0,39.0,1.0,5.0,2.0,8.0,4.0,1.0,3.0,29.0,5.0,13.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,71.0,0.0,1.0,4.0,18.0,0.0,26.0,22.0,3.0,1.0,30.0,0.0,50.0,9.0,1.0,7.0,0.0,17.0,0.0,17.0,2.0,28.0,3.0,6.0,0.0,3.0,7.0,6.0,0.0,1.0,16.0,2.0,16.0,26.0,0.0,0.0,0.0,4.0,5.0,18.0,1.0,2.0,74.0,0.0,4.0
Aaliyah_-_I_Dont_Wanna_preview.wav,14.0,9.0,7.0,0.0,2.0,2.0,61.0,3.0,0.0,71.0,17.0,4.0,2.0,1.0,0.0,2.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,54.0,0.0,38.0,44.0,22.0,7.0,0.0,73.0,1.0,2.0,1.0,0.0,0.0,26.0,23.0,104.0,2.0,0.0,12.0,1.0,5.0,20.0,4.0,1.0,1.0,0.0,53.0,0.0,90.0,11.0,0.0,0.0,4.0,0.0,0.0,23.0,0.0,11.0,50.0,0.0,3.0,13.0,0.0,2.0,10.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,3.0,0.0,16.0,0.0,11.0,7.0,24.0,22.0,10.0,2.0,2.0,0.0,4.0,37.0,0.0,13.0,1.0,21.0,2.0,11.0,14.0,0.0,20.0,31.0,0.0,0.0,21.0,0.0,0.0,12.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,6.0,2.0,2.0,0.0
ACDC_-_Back_In_Black_preview.wav,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,1.0,10.0,49.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,66.0,31.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,85.0,0.0,5.0,0.0,0.0,0.0,50.0,0.0,3.0,90.0,3.0,0.0,0.0,0.0,0.0,20.0,27.0,0.0,0.0,12.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,216.0,0.0,44.0,23.0,0.0,1.0,0.0
Aerosmith_-_Dream_On_preview.wav,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,83.0,0.0,0.0,4.0,0.0,0.0,189.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,30.0,3.0,36.0,216.0,48.0,1.0,2.0,4.0,0.0,22.0,0.0,2.0,0.0,8.0,88.0,1.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,34.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,10.0,0.0,0.0,91.0,92.0,0.0,1.0,106.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,4.0,2.0,2.0,0.0,3.0
Afrojack_-_Switch_preview.wav,14.0,6.0,22.0,18.0,6.0,9.0,19.0,15.0,0.0,3.0,4.0,1.0,0.0,22.0,0.0,5.0,35.0,5.0,12.0,12.0,0.0,15.0,3.0,34.0,29.0,0.0,6.0,32.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,20.0,54.0,0.0,12.0,3.0,15.0,21.0,7.0,2.0,2.0,1.0,6.0,12.0,10.0,11.0,1.0,8.0,0.0,16.0,0.0,0.0,7.0,1.0,0.0,10.0,0.0,17.0,8.0,5.0,20.0,4.0,0.0,27.0,0.0,0.0,11.0,3.0,0.0,12.0,9.0,11.0,13.0,0.0,1.0,1.0,11.0,6.0,9.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,17.0,33.0,7.0,1.0,9.0,0.0,3.0,13.0,42.0,38.0,36.0,13.0,8.0,12.0,95.0,6.0,0.0,5.0,70.0,2.0,1.0,25.0,4.0,0.0,17.0,0.0,0.0,6.0,7.0,0.0,3.0,1.0,0.0,21.0,8.0,27.0,13.0,4.0
AJR_-_Wow_Im_Not_Crazy_preview.wav,0.0,7.0,85.0,0.0,0.0,50.0,15.0,0.0,1.0,1.0,0.0,6.0,0.0,46.0,6.0,13.0,39.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,48.0,0.0,0.0,1.0,2.0,1.0,13.0,0.0,5.0,98.0,0.0,1.0,23.0,9.0,3.0,4.0,74.0,52.0,20.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,91.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,5.0,2.0,1.0,5.0,0.0,6.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,20.0,3.0,10.0,0.0,2.0,0.0,6.0,0.0,12.0,0.0,51.0,0.0,27.0,1.0,106.0,6.0,0.0,0.0,40.0,6.0,0.0,0.0,3.0,7.0,2.0,1.0,0.0,8.0,2.0,0.0,1.0,28.0,0.0,7.0,9.0,31.0,0.0,0.0
Aleman_-_Dejame_Volar_preview.wav,0.0,40.0,0.0,30.0,74.0,0.0,0.0,81.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,41.0,0.0,3.0,0.0,0.0,8.0,46.0,3.0,51.0,1.0,22.0,10.0,21.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,30.0,3.0,0.0,1.0,2.0,3.0,4.0,0.0,3.0,0.0,63.0,1.0,33.0,3.0,10.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,24.0,0.0,0.0,8.0,0.0,9.0,24.0,1.0,2.0,10.0,0.0,39.0,2.0,14.0,1.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,12.0,0.0,31.0,0.0,0.0,38.0,62.0,0.0,6.0,0.0,0.0,55.0,2.0,52.0,0.0,34.0,0.0,98.0,0.0,0.0,0.0,7.0,3.0,1.0,9.0,19.0,13.0,10.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,7.0,4.0,0.0,0.0,7.0,0.0,5.0
Alex_Adair_-_Make_Me_Feel_Better_-_Klingande_Remix_preview.wav,1.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,41.0,6.0,11.0,1.0,0.0,12.0,6.0,5.0,21.0,0.0,6.0,11.0,17.0,0.0,1.0,0.0,37.0,48.0,8.0,46.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,5.0,29.0,1.0,17.0,150.0,10.0,6.0,0.0,9.0,28.0,0.0,21.0,10.0,0.0,0.0,0.0,42.0,0.0,36.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,1.0,0.0,19.0,0.0,23.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,9.0,18.0,50.0,1.0,31.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,49.0,0.0,1.0,8.0,5.0,6.0,0.0,6.0,55.0,2.0,30.0,32.0,11.0,55.0,8.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,33.0,4.0,1.0,7.0,2.0
Alice_Cooper_-_Go_to_Hell_preview.wav,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,13.0,0.0,3.0,0.0,0.0,88.0,2.0,0.0,0.0,0.0,4.0,14.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,46.0,5.0,0.0,0.0,0.0,0.0,141.0,10.0,0.0,0.0,46.0,30.0,2.0,0.0,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,2.0,0.0,0.0,0.0,2.0,41.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,56.0,11.0,0.0,5.0,369.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,13.0,0.0,0.0,0.0,0.0
Alkilados_-_Chillax_preview.wav,7.0,43.0,9.0,0.0,0.0,18.0,1.0,0.0,0.0,5.0,2.0,0.0,8.0,64.0,3.0,4.0,22.0,1.0,37.0,30.0,1.0,1.0,3.0,0.0,20.0,0.0,17.0,4.0,7.0,4.0,0.0,6.0,1.0,19.0,96.0,8.0,10.0,0.0,26.0,4.0,11.0,0.0,8.0,26.0,15.0,3.0,4.0,6.0,18.0,1.0,0.0,16.0,0.0,22.0,1.0,0.0,25.0,0.0,4.0,8.0,0.0,4.0,11.0,1.0,1.0,2.0,1.0,5.0,0.0,19.0,0.0,15.0,45.0,25.0,0.0,2.0,7.0,5.0,12.0,18.0,2.0,0.0,28.0,2.0,0.0,2.0,0.0,3.0,3.0,28.0,7.0,2.0,12.0,20.0,2.0,21.0,17.0,0.0,0.0,1.0,67.0,1.0,20.0,1.0,24.0,7.0,0.0,1.0,10.0,26.0,0.0,2.0,38.0,4.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,41.0,16.0,23.0,10.0,16.0,1.0,0.0
Andrea_Bocelli_-_Return_To_Love_preview.wav,0.0,4.0,52.0,39.0,3.0,0.0,0.0,11.0,30.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,8.0,6.0,3.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,134.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,8.0,7.0,1.0,0.0,0.0,22.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,8.0,0.0,54.0,0.0,2.0,0.0,1.0,1.0,124.0,48.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,61.0,4.0,7.0,0.0,0.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,8.0,0.0,0.0,1.0,73.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,27.0,7.0,175.0,0.0,0.0
Anna_of_the_North_-_Sway_-_Chainsmokers_Remix_preview.wav,0.0,25.0,2.0,2.0,1.0,4.0,0.0,1.0,32.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,14.0,8.0,2.0,11.0,43.0,6.0,5.0,3.0,46.0,8.0,6.0,23.0,5.0,0.0,5.0,14.0,0.0,1.0,25.0,0.0,2.0,0.0,67.0,52.0,1.0,0.0,18.0,8.0,2.0,2.0,0.0,10.0,0.0,2.0,0.0,11.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,8.0,2.0,0.0,0.0,3.0,0.0,3.0,15.0,5.0,0.0,0.0,0.0,3.0,21.0,15.0,1.0,1.0,50.0,0.0,0.0,2.0,0.0,2.0,10.0,26.0,26.0,0.0,9.0,8.0,3.0,4.0,0.0,5.0,1.0,0.0,7.0,2.0,7.0,12.0,3.0,1.0,4.0,3.0,6.0,22.0,5.0,2.0,7.0,387.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,14.0,46.0,11.0,4.0,0.0,0.0
Anthony_Hamilton_-_Mama_Knew_Love_preview.wav,0.0,7.0,22.0,0.0,1.0,1.0,12.0,0.0,9.0,7.0,1.0,1.0,35.0,2.0,1.0,48.0,0.0,1.0,0.0,7.0,1.0,2.0,5.0,9.0,0.0,2.0,8.0,101.0,0.0,0.0,5.0,50.0,23.0,16.0,39.0,0.0,2.0,0.0,8.0,1.0,31.0,27.0,8.0,45.0,0.0,0.0,6.0,9.0,20.0,4.0,0.0,16.0,1.0,11.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,16.0,35.0,8.0,3.0,0.0,7.0,1.0,0.0,7.0,10.0,0.0,6.0,0.0,0.0,1.0,7.0,9.0,2.0,0.0,0.0,19.0,0.0,1.0,0.0,2.0,0.0,3.0,19.0,11.0,7.0,102.0,3.0,39.0,3.0,7.0,9.0,1.0,1.0,3.0,55.0,7.0,2.0,7.0,9.0,1.0,2.0,14.0,0.0,2.0,9.0,22.0,0.0,12.0,15.0,7.0,0.0,0.0,5.0,1.0,34.0,5.0,10.0,106.0,0.0,0.0
Anything_Box_-_Living_in_Oblivion_preview.wav,3.0,5.0,0.0,0.0,0.0,87.0,23.0,0.0,0.0,1.0,0.0,2.0,17.0,2.0,0.0,0.0,6.0,0.0,64.0,57.0,0.0,0.0,5.0,0.0,47.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,38.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,9.0,21.0,6.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,35.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,23.0,0.0,97.0,31.0,0.0,2.0,0.0,53.0,85.0,6.0,0.0,75.0,1.0,0.0,1.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0,3.0,2.0,0.0,92.0,1.0,0.0,0.0,19.0,3.0,5.0,1.0,1.0,33.0,0.0,6.0,6.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,38.0,14.0,0.0,1.0,0.0
